Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,8295.9990234375,8826.921875,6625.64013671875,6929.0244140625,4884.666015625,808496
2018-07-01,6899.3837890625,8008.306640625,6555.896484375,7987.38330078125,5630.76416015625,794891
2018-08-01,7949.0244140625,8792.0498046875,6817.43505859375,8641.2294921875,6091.697265625,969377
2018-09-01,8635.9990234375,8635.9990234375,7558.46044921875,7863.58837890625,5543.49365234375,508517
2018-10-01,7858.35791015625,8098.97314453125,6737.2294921875,7291.69140625,5140.33056640625,666275
2018-11-01,7282.97314453125,8505.2294921875,7267.28076171875,8177.4345703125,5764.7421875,707052
2018-12-01,8505.2294921875,8642.97265625,6915.07568359375,7134.76806640625,5029.70703125,484118
2019-01-01,7134.76806640625,7924.6142578125,7049.33203125,7551.48583984375,5323.47509765625,470356
2019-02-01,7642.15283203125,8165.2294921875,7131.28076171875,7706.66552734375,5432.86962890625,597393
2019-03-01,7758.97314453125,7825.2294921875,7303.896484375,7359.69140625,5188.26806640625,477759
2019-04-01,7410.25537109375,9034.0,7410.25537109375,8672.0,6113.3896484375,573644
2019-05-01,8746.0,8896.0,6958.0,7180.0,5161.90380859375,582895
2019-06-01,7110.0,8146.0,6854.0,8142.0,5853.51318359375,643749
2019-07-01,8292.0,8384.0,7526.0,7588.0,5455.22705078125,548356
2019-08-01,7550.0,7698.0,6716.0,7218.0,5189.2236328125,727280
2019-09-01,7184.0,8306.0,7036.0,7746.0,5568.81689453125,679353
2019-10-01,7810.0,8764.0,7244.0,8538.0,6138.2080078125,642575
2019-11-01,8536.0,9762.0,8536.0,9478.0,6814.0009765625,647623
2019-12-01,9498.0,10555.0,9324.0,9608.0,6907.46142578125,513976
2020-01-01,9608.0,9700.0,8034.0,8092.0,5817.56640625,613894
2020-02-01,8036.0,8938.0,6634.0,6770.0,4867.1435546875,812565
2020-03-01,7254.0,7320.0,4976.0,6092.0,4379.7099609375,1498618
2020-04-01,6000.0,7098.0,5662.0,6770.0,5016.1376953125,675883
2020-05-01,6600.0,7196.0,6084.0,6550.0,4853.13134765625,783058
2020-06-01,6550.0,8300.0,6550.0,7728.0,5725.9541015625,862305
2020-07-01,7796.0,8590.0,7654.0,8076.0,5983.7998046875,474131
2020-08-01,8050.0,9988.0,8022.0,9564.0,7086.3125,489177
2020-09-01,9574.0,10100.0,9130.0,10080.0,7468.63623046875,578443
2020-10-01,10115.0,11040.0,9734.0,10210.0,7564.9580078125,534568
2020-11-01,10235.0,12850.0,10050.0,12735.0,9435.8212890625,700863
2020-12-01,12690.0,14115.0,12175.0,13595.0,10073.0263671875,628629
2021-01-01,13595.0,15400.0,11885.0,12720.0,9424.70703125,766800
2021-02-01,12835.0,14200.0,12050.0,13240.0,9809.9951171875,811727
2021-03-01,13495.0,15265.0,12795.0,14735.0,10917.6943359375,676615
2021-04-01,14735.0,16300.0,14480.0,15370.0,11666.2568359375,497312
2021-05-01,15215.0,17580.0,14790.0,16830.0,12774.4375,560939
2021-06-01,16900.0,18895.0,16900.0,18025.0,13681.4755859375,483704
2021-07-01,18185.0,18785.0,16885.0,17415.0,13218.46875,581410
2021-08-01,17560.0,19320.0,17000.0,17870.0,13563.826171875,578542
2021-09-01,17975.0,20570.0,17385.0,17385.0,13195.6982421875,576634
2021-10-01,17215.0,18980.0,16020.0,18595.0,14114.12109375,590195
2021-11-01,18900.0,21360.0,18635.0,19775.0,15009.7734375,627726
2021-12-01,19935.0,23800.0,19440.0,23450.0,17799.201171875,461972
2022-01-01,23600.0,24920.0,21630.0,23670.0,17966.1875,560037
2022-02-01,24000.0,24070.0,19955.0,21020.0,15954.763671875,521840
2022-03-01,20940.0,23940.0,19070.0,20370.0,15461.396484375,656146
2022-04-01,20280.0,20930.0,17415.0,20680.0,17592.431640625,522321
2022-05-01,20650.0,22010.0,18520.0,20220.0,17201.109375,593044
2022-06-01,20310.0,21710.0,16170.0,16555.0,14083.302734375,598141
2022-07-01,16815.0,19845.0,15965.0,19790.0,16835.310546875,451694
2022-08-01,19990.0,22650.0,17625.0,17755.0,15104.1396484375,635971
2022-09-01,17345.0,17545.0,13185.0,13865.0,11794.9248046875,752251
2022-10-01,13815.0,16110.0,13800.0,15760.0,13406.998046875,591450
2022-11-01,15820.0,16200.0,14300.0,15350.0,13058.2119140625,566943
2022-12-01,15540.0,16210.0,14365.0,15620.0,13287.8994140625,492893
2023-01-01,15760.0,16455.0,14050.0,14815.0,12603.087890625,487429
2023-02-01,14990.0,16755.0,14730.0,16410.0,13959.951171875,664273
2023-03-01,16425.0,17265.0,11100.0,12445.0,10586.9345703125,845440
2023-04-01,12445.0,14050.0,11435.0,12195.0,12195.0,631198
2023-05-01,12200.0,12460.0,11645.0,11860.0,11860.0,274681
