Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,2242.0,2492.0,2222.0,2492.0,2290.439697265625,676535
2018-07-01,2482.0,2622.0,2430.0,2552.0,2345.5869140625,513322
<<<<<<< HEAD
2018-08-01,2542.0,2840.0,2442.0,2782.0,2556.983642578125,767400
2018-09-01,2774.0,2878.0,2730.0,2750.0,2527.572021484375,550556
2018-10-01,2750.0,2796.0,2180.0,2252.0,2069.8515625,796130
2018-11-01,2258.0,2418.0,1678.0,1715.0,1576.285888671875,934003
2018-12-01,1755.0,1803.0,1639.0,1700.0,1562.4990234375,854936
2019-01-01,1700.0,1803.0,1623.0,1744.0,1602.940185546875,653464
2019-02-01,1747.0,1830.0,1561.0,1601.0,1471.5064697265625,1077204
2019-03-01,1600.0,1671.0,1509.0,1559.0,1432.9034423828125,718927
2019-04-01,1572.0,1778.0,1543.0,1778.0,1634.190185546875,697592
2019-05-01,1780.0,1842.0,1703.0,1708.0,1599.55810546875,654842
2019-06-01,1680.0,1793.0,1616.0,1676.0,1569.5897216796875,713212
2019-07-01,1680.0,1749.0,1621.0,1651.0,1546.177001953125,572459
2019-08-01,1659.0,1680.0,1286.0,1323.0,1239.0018310546875,1231582
2019-09-01,1325.0,1444.0,1310.0,1370.0,1283.0179443359375,740379
2019-10-01,1378.0,1386.0,1226.0,1316.0,1232.4462890625,844627
2019-11-01,1317.0,1583.0,1317.0,1515.0,1418.8116455078125,789095
2019-12-01,1523.0,1659.0,1485.0,1578.0,1477.811767578125,627641
2020-01-01,1578.0,1614.0,1515.0,1574.0,1474.0657958984375,537910
2020-02-01,1573.0,1818.0,1515.0,1561.0,1461.8912353515625,868864
2020-03-01,1634.0,1687.0,983.5,1230.0,1151.9066162109375,1382927
=======
2018-08-01,2542.0,2840.0,2442.0,2782.0,2556.98388671875,767400
2018-09-01,2774.0,2878.0,2730.0,2750.0,2527.57177734375,550556
2018-10-01,2750.0,2796.0,2180.0,2252.0,2069.8515625,796130
2018-11-01,2258.0,2418.0,1678.0,1715.0,1576.2857666015625,934003
2018-12-01,1755.0,1803.0,1639.0,1700.0,1562.4989013671875,854936
2019-01-01,1700.0,1803.0,1623.0,1744.0,1602.940185546875,653464
2019-02-01,1747.0,1830.0,1561.0,1601.0,1471.5064697265625,1077204
2019-03-01,1600.0,1671.0,1509.0,1559.0,1432.903564453125,718927
2019-04-01,1572.0,1778.0,1543.0,1778.0,1634.190185546875,697592
2019-05-01,1780.0,1842.0,1703.0,1708.0,1599.55810546875,654842
2019-06-01,1680.0,1793.0,1616.0,1676.0,1569.589599609375,713212
2019-07-01,1680.0,1749.0,1621.0,1651.0,1546.177001953125,572459
2019-08-01,1659.0,1680.0,1286.0,1323.0,1239.001953125,1231582
2019-09-01,1325.0,1444.0,1310.0,1370.0,1283.017822265625,740379
2019-10-01,1378.0,1386.0,1226.0,1316.0,1232.4464111328125,844627
2019-11-01,1317.0,1583.0,1317.0,1515.0,1418.811767578125,789095
2019-12-01,1523.0,1659.0,1485.0,1578.0,1477.8118896484375,627641
2020-01-01,1578.0,1614.0,1515.0,1574.0,1474.0657958984375,537910
2020-02-01,1573.0,1818.0,1515.0,1561.0,1461.8912353515625,868864
2020-03-01,1634.0,1687.0,983.5,1230.0,1151.906494140625,1382927
>>>>>>> 40459712363fa415050b950dd1c26fd8201bd876
2020-04-01,1235.0,1508.0,1148.0,1430.0,1339.20849609375,1058202
2020-05-01,1413.0,1913.0,1325.0,1876.0,1805.06689453125,991831
2020-06-01,1876.0,1934.0,1674.0,1795.0,1727.129638671875,995026
2020-07-01,1805.0,2128.0,1795.0,2052.0,1974.4122314453125,864087
<<<<<<< HEAD
2020-08-01,2060.0,2492.0,2052.0,2370.0,2280.388427734375,781742
2020-09-01,2378.0,2478.0,2208.0,2440.0,2347.74169921875,671021
2020-10-01,2440.0,2886.0,2376.0,2498.0,2403.548583984375,1112417
2020-11-01,2504.0,2950.0,2280.0,2280.0,2193.79150390625,1931514
2020-12-01,2332.0,2362.0,2022.0,2278.0,2191.866943359375,1437355
2021-01-01,2278.0,2628.0,2232.0,2322.0,2234.203369140625,1080789
2021-02-01,2340.0,2450.0,2010.0,2234.0,2149.53076171875,1205025
2021-03-01,2258.0,2714.0,2224.0,2674.0,2572.893798828125,878029
2021-04-01,2674.0,2850.0,2575.0,2777.0,2671.999267578125,576917
2021-05-01,2782.0,3070.0,2685.0,3027.0,2912.546875,705126
2021-06-01,3027.0,3145.0,2933.0,3053.0,2937.563720703125,552659
2021-07-01,3062.0,3329.0,3051.0,3327.0,3201.20361328125,379218
2021-08-01,3330.0,3486.0,3228.0,3333.0,3206.9765625,440696
2021-09-01,3328.0,3420.0,2730.0,2754.0,2649.869140625,634230
2021-10-01,2735.0,2985.0,2546.0,2940.0,2828.836181640625,673816
2021-11-01,2943.0,3180.0,2572.0,2732.0,2628.700927734375,547786
2021-12-01,2738.0,2930.0,2659.0,2860.0,2751.861083984375,405100
2022-01-01,2870.0,2937.0,2354.0,2524.0,2428.5654296875,441053
2022-02-01,2537.0,2782.0,2258.0,2281.0,2194.753662109375,857438
2022-03-01,2291.0,2520.0,1851.0,2232.0,2147.606201171875,1033396
2022-04-01,2235.0,2284.0,1852.5,1994.0,1918.6053466796875,599369
=======
2020-08-01,2060.0,2492.0,2052.0,2370.0,2280.38818359375,781742
2020-09-01,2378.0,2478.0,2208.0,2440.0,2347.74169921875,671021
2020-10-01,2440.0,2886.0,2376.0,2498.0,2403.548583984375,1112417
2020-11-01,2504.0,2950.0,2280.0,2280.0,2193.791259765625,1931514
2020-12-01,2332.0,2362.0,2022.0,2278.0,2191.866943359375,1437355
2021-01-01,2278.0,2628.0,2232.0,2322.0,2234.203125,1080789
2021-02-01,2340.0,2450.0,2010.0,2234.0,2149.53076171875,1205025
2021-03-01,2258.0,2714.0,2224.0,2674.0,2572.89404296875,878029
2021-04-01,2674.0,2850.0,2575.0,2777.0,2671.999267578125,576917
2021-05-01,2782.0,3070.0,2685.0,3027.0,2912.546875,705126
2021-06-01,3027.0,3145.0,2933.0,3053.0,2937.5634765625,552659
2021-07-01,3062.0,3329.0,3051.0,3327.0,3201.20361328125,379218
2021-08-01,3330.0,3486.0,3228.0,3333.0,3206.976806640625,440696
2021-09-01,3328.0,3420.0,2730.0,2754.0,2649.869140625,634230
2021-10-01,2735.0,2985.0,2546.0,2940.0,2828.83642578125,673816
2021-11-01,2943.0,3180.0,2572.0,2732.0,2628.700927734375,547786
2021-12-01,2738.0,2930.0,2659.0,2860.0,2751.861083984375,405100
2022-01-01,2870.0,2937.0,2354.0,2524.0,2428.565673828125,441053
2022-02-01,2537.0,2782.0,2258.0,2281.0,2194.753662109375,857438
2022-03-01,2291.0,2520.0,1851.0,2232.0,2147.606201171875,1033396
2022-04-01,2235.0,2284.0,1852.5,1994.0,1918.605224609375,599369
>>>>>>> 40459712363fa415050b950dd1c26fd8201bd876
2022-05-01,1978.5,2055.0,1676.5,1929.5,1889.36181640625,916036
2022-06-01,1937.0,2020.0,1506.0,1597.5,1564.2681884765625,1085329
2022-07-01,1593.5,1810.5,1537.0,1797.0,1759.6181640625,915399
2022-08-01,1799.5,1934.5,1446.0,1530.5,1498.6619873046875,1323186
2022-09-01,1510.5,1510.5,1130.5,1203.0,1177.9747314453125,1374225
2022-10-01,1202.5,1511.5,1173.0,1500.0,1468.79638671875,1211825
2022-11-01,1512.5,1748.0,1440.0,1549.5,1517.2667236328125,1510225
2022-12-01,1569.0,1655.5,1500.5,1633.0,1599.0296630859375,836628
2023-01-01,1647.5,1980.5,1644.5,1950.0,1909.435302734375,964666
2023-02-01,1960.0,2148.0,1525.0,1602.5,1569.1641845703125,1720689
2023-03-01,1601.0,1697.0,1519.5,1680.5,1645.5416259765625,1153937
2023-04-01,1681.0,1695.0,1529.5,1632.5,1632.5,710791
2023-05-01,1632.5,1806.0,1628.5,1736.5,1736.5,600293
