Date,Open,High,Low,Close,Adj Close,Volume,Log_Price_Diff
2018-06-01,505.0,520.4000244140625,435.6000061035156,445.79998779296875,378.8030700683594,15642913,
2018-07-01,442.5,472.1000061035156,412.79998779296875,453.0,384.9210205078125,14136553,0.016021731913570036
2018-08-01,451.70001220703125,451.70001220703125,319.0,383.70001220703125,326.0357666015625,29124250,-0.16603109641612956
2018-09-01,384.0,418.79998779296875,371.79998779296875,401.1000061035156,349.02459716796875,12446983,0.04434975892604509
2018-10-01,400.5,440.3999938964844,345.0,412.1000061035156,358.596435546875,11839018,0.02705526516258505
2018-11-01,413.0,429.29998779296875,336.79998779296875,356.1000061035156,309.86700439453125,15103328,-0.1460544457319104
2018-12-01,360.29998779296875,368.0,256.70001220703125,265.29998779296875,230.85568237304688,12200697,-0.29435039229211135
2019-01-01,265.29998779296875,298.3999938964844,253.8000030517578,282.3999938964844,245.73558044433594,17838697,0.06246326887455833
2019-02-01,284.5,349.1000061035156,277.79998779296875,344.20001220703125,299.5119934082031,16480870,0.19789843523630335
2019-03-01,345.20001220703125,349.8999938964844,299.0,311.6000061035156,271.1445007324219,11167218,-0.09950258565811954
2019-04-01,315.0,322.75,266.79998779296875,279.20001220703125,249.9167938232422,14139958,-0.1097919189745804
2019-05-01,279.8999938964844,295.8999938964844,240.5,248.3000030517578,222.2576904296875,13143332,-0.11729070980494694
2019-06-01,247.3000030517578,251.0,217.1999969482422,233.5,209.00994873046875,13744951,-0.06145562769577584
2019-07-01,238.1999969482422,268.79998779296875,232.1999969482422,259.79998779296875,232.55152893066406,13591069,0.10672998014128243
2019-08-01,257.0,324.3999938964844,221.6999969482422,289.0,258.68896484375,19136000,0.10651463086219781
2019-09-01,289.5,324.0,273.70001220703125,274.8999938964844,246.06777954101562,14859295,-0.050019315143908116
2019-10-01,276.3999938964844,349.0,259.0,329.3999938964844,294.8517150878906,17708869,0.18086542624582425
2019-11-01,331.0,340.6000061035156,270.5,273.0,244.36709594726562,17515224,-0.1878010040293887
2019-12-01,272.0,293.3999938964844,260.3999938964844,289.79998779296875,259.4050598144531,11156041,0.05971919257936076
2020-01-01,289.79998779296875,382.8999938964844,287.1000061035156,349.3999938964844,312.75408935546875,15141880,0.18702639246707342
2020-02-01,350.0,377.5,300.29998779296875,303.70001220703125,271.8471984863281,15113948,-0.14017696798531798
2020-03-01,309.0,311.5,179.6999969482422,220.89999389648438,197.73147583007812,25937309,-0.3183303294502249
2020-04-01,217.3000030517578,252.1999969482422,205.6999969482422,241.89999389648438,224.82858276367188,13897139,0.0908143095885654
2020-05-01,240.0,341.20001220703125,223.10000610351562,333.70001220703125,310.15008544921875,28838645,0.3217180299537663
2020-06-01,333.70001220703125,384.79998779296875,331.70001220703125,360.29998779296875,334.87286376953125,14274988,0.07669456153567733
2020-07-01,363.0,423.6000061035156,360.6000061035156,400.1000061035156,371.86407470703125,11322952,0.10477754724430444
2020-08-01,400.0,465.0,387.29998779296875,455.6000061035156,423.44732666015625,12186481,0.1299007138515167
2020-09-01,452.79998779296875,505.20001220703125,448.8999938964844,457.70001220703125,425.39910888671875,12018478,0.004598729360290932
2020-10-01,460.70001220703125,581.5999755859375,457.70001220703125,506.20001220703125,470.4763488769531,9821117,0.10071789789608765
2020-11-01,506.3999938964844,653.4000244140625,495.1000061035156,625.0,580.892333984375,9310794,0.2108197775103413
2020-12-01,625.0,699.0,595.4000244140625,681.0,632.9403076171875,7506513,0.08581065641311092
2021-01-01,681.0,688.7999877929688,560.4000244140625,593.2000122070312,551.3365478515625,7348243,-0.13803067530746294
2021-02-01,595.0,655.0,569.5999755859375,599.5999755859375,557.2849731445312,7225345,0.01073109466914346
2021-03-01,608.5999755859375,689.5999755859375,584.7999877929688,679.5999755859375,631.6390991210938,7053568,0.12524162836241892
2021-04-01,679.5999755859375,726.5999755859375,679.5999755859375,702.0,652.458251953125,5190302,0.032429050152199324
2021-05-01,696.2000122070312,832.7999877929688,694.2000122070312,823.5999755859375,765.476806640625,6700516,0.1597515414847166
2021-06-01,828.4000244140625,874.7999877929688,798.5999755859375,843.0,788.79443359375,5051003,0.023282012491327997
2021-07-01,848.0,879.0,801.5999755859375,812.0,759.787841796875,3739037,-0.03746661784017746
2021-08-01,813.4000244140625,854.4000244140625,753.5999755859375,754.0,705.5172729492188,6144090,-0.07410797215372167
2021-09-01,765.0,863.7999877929688,762.7999877929688,780.0,734.6712036132812,7081263,0.03390155167568132
2021-10-01,775.0,903.0,762.4000244140625,898.5999755859375,846.3787841796875,5183892,0.1415440497834224
2021-11-01,885.4000244140625,950.0,808.0,814.0,766.6953125,8078416,-0.09887760346452001
2021-12-01,818.5999755859375,898.7999877929688,739.5999755859375,815.4000244140625,772.13330078125,5976136,0.0017184543238224492
2022-01-01,816.0,858.7999877929688,688.0,714.0,676.11376953125,7270185,-0.1327958579867783
2022-02-01,723.2000122070312,777.4000244140625,663.4000244140625,685.5999755859375,649.220703125,7656035,-0.040588630665791214
2022-03-01,686.0,700.0,554.5999755859375,647.5999755859375,613.237060546875,9173148,-0.05702114756960697
2022-04-01,649.0,681.0,606.4000244140625,629.0,612.6358032226562,4854307,-0.029141927403744994
2022-05-01,620.5999755859375,652.4000244140625,486.79998779296875,559.5999755859375,545.0413208007812,9274986,-0.11690905753681857
2022-06-01,562.0,566.0,438.70001220703125,446.5,434.8837585449219,7288675,-0.2257827988470691
2022-07-01,442.6000061035156,539.2000122070312,432.79998779296875,537.5999755859375,523.6136474609375,5830723,0.18567534347932302
2022-08-01,534.4000244140625,541.2000122070312,429.29998779296875,447.1000061035156,435.4681396484375,8013884,-0.18433244690459816
2022-09-01,439.0,451.3999938964844,354.3999938964844,359.1000061035156,349.757568359375,7295301,-0.2191813786625394
2022-10-01,358.29998779296875,418.79998779296875,356.3999938964844,397.1000061035156,386.7689514160156,5652213,0.10058723527868985
2022-11-01,402.5,532.4000244140625,390.3999938964844,527.5999755859375,513.8738403320312,7950959,0.28415022106191934
2022-12-01,537.0,544.5999755859375,472.1000061035156,488.1000061035156,475.4014892578125,5565623,-0.07781805917160423
2023-01-01,490.6000061035156,584.2000122070312,489.5,566.0,551.2747802734375,6064318,0.14807376280543938
2023-02-01,568.5999755859375,672.0,568.5999755859375,667.4000244140625,650.0368041992188,5843081,0.16479552469494507
2023-03-01,671.4000244140625,680.0,570.2000122070312,655.4000244140625,638.3489990234375,5533959,-0.018143829382784915
2023-04-01,656.0,656.0,594.4000244140625,624.2000122070312,624.2000122070312,4182607,-0.048774924122382046
2023-05-01,624.2000122070312,641.2000122070312,585.5999755859375,597.2000122070312,597.2000122070312,3470323,-0.04421876328748553
